# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
5.000000e-03,1.000000e+00,3.681500e+02,9.654808e+02,-3.975641e+05,8.257738e+04
5.000000e-03,2.000000e+00,2.981500e+02,1.001245e+03,-1.037880e+05,3.120189e+03
5.000000e-03,2.000000e+00,3.081500e+02,9.981444e+02,-1.452800e+05,5.540137e+03
5.000000e-03,2.000000e+00,3.181500e+02,9.942523e+02,-1.868657e+05,9.439794e+03
5.000000e-03,2.000000e+00,3.281500e+02,9.896694e+02,-2.285721e+05,1.549564e+04
5.000000e-03,2.000000e+00,3.381500e+02,9.844683e+02,-2.704290e+05,2.458996e+04
5.000000e-03,2.000000e+00,3.481500e+02,9.787028e+02,-3.124777e+05,3.783796e+04
5.000000e-03,2.000000e+00,3.581500e+02,9.724134e+02,-3.547735e+05,5.660941e+04
5.000000e-03,2.000000e+00,3.681500e+02,9.656440e+02,-3.973824e+05,8.254342e+04
5.000000e-03,3.000000e+00,2.981500e+02,1.001256e+03,-1.037685e+05,3.119479e+03
5.000000e-03,3.000000e+00,3.081500e+02,9.981587e+02,-1.452535e+05,5.538891e+03
5.000000e-03,3.000000e+00,3.181500e+02,9.942739e+02,-1.868317e+05,9.437710e+03
5.000000e-03,3.000000e+00,3.281500e+02,9.897018e+02,-2.285296e+05,1.549231e+04
5.000000e-03,3.000000e+00,3.381500e+02,9.845153e+02,-2.703767e+05,2.458485e+04
5.000000e-03,3.000000e+00,3.481500e+02,9.787683e+02,-3.124139e+05,3.783045e+04
5.000000e-03,3.000000e+00,3.581500e+02,9.725013e+02,-3.546963e+05,5.659882e+04
5.000000e-03,3.000000e+00,3.681500e+02,9.657525e+02,-3.972906e+05,8.252887e+04
1.000000e-02,3.333333e-01,2.981500e+02,1.005577e+03,-1.032530e+05,3.121082e+03
1.000000e-02,3.333333e-01,3.081500e+02,1.002448e+03,-1.445614e+05,5.541787e+03
1.000000e-02,3.333333e-01,3.181500e+02,9.985362e+02,-1.859649e+05,9.442745e+03
1.000000e-02,3.333333e-01,3.281500e+02,9.939412e+02,-2.274869e+05,1.550076e+04
1.000000e-02,3.333333e-01,3.381500e+02,9.887349e+02,-2.691548e+05,2.459861e+04
1.000000e-02,3.333333e-01,3.481500e+02,9.829710e+02,-3.110081e+05,3.785223e+04
1.000000e-02,3.333333e-01,3.581500e+02,9.766896e+02,-3.531008e+05,5.663242e+04
1.000000e-02,3.333333e-01,3.681500e+02,9.699205e+02,-3.955006e+05,8.257915e+04
1.000000e-02,5.000000e-01,2.981500e+02,1.005558e+03,-1.032092e+05,3.119292e+03
1.000000e-02,5.000000e-01,3.081500e+02,1.002422e+03,-1.445032e+05,5.538603e+03
1.000000e-02,5.000000e-01,3.181500e+02,9.985062e+02,-1.858923e+05,9.437310e+03
1.000000e-02,5.000000e-01,3.281500e+02,9.939099e+02,-2.273990e+05,1.549183e+04
1.000000e-02,5.000000e-01,3.381500e+02,9.887744e+02,-2.690403e+05,2.458531e+04
1.000000e-02,5.000000e-01,3.481500e+02,9.830355e+02,-3.108708e+05,3.783222e+04
1.000000e-02,5.000000e-01,3.581500e+02,9.767852e+02,-3.529374e+05,5.660332e+04
1.000000e-02,5.000000e-01,3.681500e+02,9.700535e+02,-3.953070e+05,8.253823e+04
1.000000e-02,1.000000e+00,2.981500e+02,1.005547e+03,-1.031243e+05,3.115943e+03
1.000000e-02,1.000000e+00,3.081500e+02,1.002406e+03,-1.443900e+05,5.532668e+03
1.000000e-02,1.000000e+00,3.181500e+02,9.984952e+02,-1.857497e+05,9.427239e+03
1.000000e-02,1.000000e+00,3.281500e+02,9.939112e+02,-2.272250e+05,1.547540e+04
1.000000e-02,1.000000e+00,3.381500e+02,9.887257e+02,-2.688419e+05,2.455858e+04
1.000000e-02,1.000000e+00,3.481500e+02,9.829919e+02,-3.106390e+05,3.779108e+04
1.000000e-02,1.000000e+00,3.581500e+02,9.767496e+02,-3.526687e+05,5.654178e+04
1.000000e-02,1.000000e+00,3.681500e+02,9.700286e+02,-3.949977e+05,8.244854e+04
1.000000e-02,2.000000e+00,2.981500e+02,1.005530e+03,-1.030457e+05,3.112810e+03
1.000000e-02,2.000000e+00,3.081500e+02,1.002377e+03,-1.442860e+05,5.527098e+03
1.000000e-02,2.000000e+00,3.181500e+02,9.984596e+02,-1.856199e+05,9.417739e+03
1.000000e-02,2.000000e+00,3.281500e+02,9.938741e+02,-2.270680e+05,1.545980e+04
1.000000e-02,2.000000e+00,3.381500e+02,9.886908e+02,-2.686559e+05,2.453382e+04
1.000000e-02,2.000000e+00,3.481500e+02,9.829623e+02,-3.104212e+05,3.775298e+04
1.000000e-02,2.000000e+00,3.581500e+02,9.767280e+02,-3.524161e+05,5.648480e+04
1.000000e-02,2.000000e+00,3.681500e+02,9.700176e+02,-3.947064e+05,8.236552e+04
1.000000e-02,3.000000e+00,2.981500e+02,1.005524e+03,-1.030084e+05,3.111328e+03
1.000000e-02,3.000000e+00,3.081500e+02,1.002366e+03,-1.442365e+05,5.524463e+03
1.000000e-02,3.000000e+00,3.181500e+02,9.984457e+02,-1.855581e+05,9.413246e+03
1.000000e-02,3.000000e+00,3.281500e+02,9.938597e+02,-2.269933e+05,1.545242e+04
1.000000e-02,3.000000e+00,3.381500e+02,9.886776e+02,-2.685672e+05,2.452211e+04
1.000000e-02,3.000000e+00,3.481500e+02,9.829518e+02,-3.103174e+05,3.773496e+04
1.000000e-02,3.000000e+00,3.581500e+02,9.767215e+02,-3.522957e+05,5.645786e+04
1.000000e-02,3.000000e+00,3.681500e+02,9.700164e+02,-3.945674e+05,8.232627e+04
